	EVENT_TYPE	EVENT_NAME	DATETIME	EXP_ONSET	ACTUAL_ONSET	DELTA	EVENT_ID
	START	-	2024-04-19-18-58	-	0	-	-
	FLIP	Instr	2024-04-19-18-58	-	0.12214	-	-
	RESP	KeyPress	2024-04-19-18-58	-	1.1015	-	9
	13		FLIP	TgrWait	2024-04-19-18-58	-	1.1171	-	-
	RESP	KeyPress	2024-04-19-18-58	-	2.3698	-	23
	RESP	KeyPress	2024-04-19-18-58	-	2.4929	-	23
	RESP	KeyPress	2024-04-19-18-58	-	5.5755	-	23
	RESP	KeyPress	2024-04-19-18-58	-	5.7442	-	23
	RESP	KeyPress	2024-04-19-18-58	-	6.5874	-	20
	PULSE	Trigger	2024-04-19-18-58	-	6.9486	-	4
	PULSE	Trigger	2024-04-19-18-58	-	7.2968	-	4
	FLIP	Pre-fix	2024-04-19-18-58	-	7.3137	-	-
	FLIP	Stim	2024-04-19-18-58	17.3137	17.3212	0.0074487	./src/stimuli/food_cake.jpg
	RESP	KeyPress	2024-04-19-18-58	-	18.3111	-	29
	FLIP	Fix	2024-04-19-18-58	-	18.3172	-	-
	FLIP	Stim	2024-04-19-18-58	19.3137	19.3175	0.0037434	./src/stimuli/sport_skateboard.jpg
	RESP	KeyPress	2024-04-19-18-58	-	19.8406	-	20
	FLIP	Fix	2024-04-19-18-58	-	20.3175	-	-
	FLIP	Stim	2024-04-19-18-58	21.3137	21.3179	0.0042012	fixation
	FLIP	Fix	2024-04-19-18-58	-	22.3169	-	-
	FLIP	Stim	2024-04-19-18-58	23.3137	23.3173	0.0035556	fixation
	FLIP	Fix	2024-04-19-18-58	-	24.3175	-	-
	FLIP	Stim	2024-04-19-18-58	25.3137	25.3183	0.0045716	./src/stimuli/people_crowd.jpg
	FLIP	Fix	2024-04-19-18-58	-	26.3182	-	-
	FLIP	Stim	2024-04-19-18-58	27.3137	27.3172	0.0034812	fixation
	FLIP	Fix	2024-04-19-18-58	-	28.3171	-	-
	FLIP	Stim	2024-04-19-18-59	29.3137	29.3175	0.0038083	./src/stimuli/vehicle_plane.jpg
	RESP	KeyPress	2024-04-19-18-59	-	29.9772	-	29
	FLIP	Fix	2024-04-19-18-59	-	30.317	-	-
	FLIP	Stim	2024-04-19-18-59	31.3137	31.3169	0.0032042	./src/stimuli/object_phone.jpg
